risk_budget,method,seed,tasks,success,fixed_risk_success,collision,dynamic_violation,risk_proxy,mode_escape
0.05,strong_guided_diffusion,2,8,0.12500,0.12500,0.00000,0.87500,0.87995,0.00000
0.05,strong_guided_diffusion,3,8,0.12500,0.12500,0.00000,0.87500,0.87999,0.00000
0.05,strong_guided_diffusion,4,8,0.12500,0.12500,0.12500,0.87500,0.87995,0.00000
0.05,strong_guided_diffusion,5,8,0.00000,0.00000,0.00000,1.00000,1.00000,0.00000
0.05,strong_guided_diffusion,6,8,0.25000,0.25000,0.00000,0.75000,0.76032,0.00000
0.05,strong_guided_diffusion,7,8,0.00000,0.00000,0.00000,1.00000,1.00000,0.00000
0.05,support_projected_guidance,0,8,0.00000,0.00000,0.00000,1.00000,1.00000,0.00000
0.05,support_projected_guidance,1,8,0.00000,0.00000,0.00000,1.00000,1.00000,0.00000
0.05,support_projected_guidance,2,8,0.00000,0.00000,0.12500,1.00000,1.00000,0.00000
0.05,support_projected_guidance,3,8,0.12500,0.12500,0.00000,0.87500,0.87995,0.00000
0.05,support_projected_guidance,4,8,0.12500,0.12500,0.00000,0.87500,0.87995,0.00000
0.05,support_projected_guidance,5,8,0.00000,0.00000,0.00000,1.00000,1.00000,0.00000
0.05,support_projected_guidance,6,8,0.00000,0.00000,0.00000,1.00000,1.00000,0.00000
0.05,support_projected_guidance,7,8,0.00000,0.00000,0.00000,1.00000,1.00000,0.00000
0.05,mode_diverse_diffusion,0,8,1.00000,1.00000,0.00000,0.00000,0.00329,1.00000
0.05,mode_diverse_diffusion,1,8,1.00000,1.00000,0.00000,0.00000,0.00325,1.00000
0.05,mode_diverse_diffusion,2,8,1.00000,1.00000,0.00000,0.00000,0.00330,1.00000
0.05,mode_diverse_diffusion,3,8,1.00000,1.00000,0.00000,0.00000,0.00321,1.00000
0.05,mode_diverse_diffusion,4,8,1.00000,1.00000,0.00000,0.00000,0.00328,1.00000
0.05,mode_diverse_diffusion,5,8,1.00000,1.00000,0.00000,0.00000,0.00330,1.00000
0.05,mode_diverse_diffusion,6,8,1.00000,1.00000,0.00000,0.00000,0.00328,1.00000
0.05,mode_diverse_diffusion,7,8,1.00000,1.00000,0.00000,0.00000,0.00328,1.00000
0.05,diffusion_cem_hybrid,0,8,1.00000,1.00000,0.00000,0.00000,0.00307,1.00000
0.05,diffusion_cem_hybrid,1,8,1.00000,1.00000,0.00000,0.00000,0.00306,1.00000
0.05,diffusion_cem_hybrid,2,8,1.00000,1.00000,0.00000,0.00000,0.00305,1.00000
0.05,diffusion_cem_hybrid,3,8,1.00000,1.00000,0.00000,0.00000,0.00300,1.00000
0.05,diffusion_cem_hybrid,4,8,1.00000,1.00000,0.00000,0.00000,0.00302,1.00000
0.05,diffusion_cem_hybrid,5,8,1.00000,1.00000,0.00000,0.00000,0.00306,1.00000
0.05,diffusion_cem_hybrid,6,8,1.00000,1.00000,0.00000,0.00000,0.00304,1.00000
0.05,diffusion_cem_hybrid,7,8,1.00000,1.00000,0.00000,0.00000,0.00307,1.00000
0.05,cem_trajectory_optimizer,0,8,1.00000,1.00000,0.00000,0.00000,0.00328,1.00000
0.05,cem_trajectory_optimizer,1,8,1.00000,1.00000,0.00000,0.00000,0.00328,1.00000
0.05,cem_trajectory_optimizer,2,8,1.00000,1.00000,0.00000,0.00000,0.00331,1.00000
0.05,cem_trajectory_optimizer,3,8,1.00000,1.00000,0.00000,0.00000,0.00323,1.00000
0.05,cem_trajectory_optimizer,4,8,1.00000,1.00000,0.00000,0.00000,0.00327,1.00000
